fields.date,fields.gc_obo_gare_origine_r_name,fields.gc_obo_type_c
51,Paris Montparnasse,"Articles de sport, loisirs, camping"
51,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
51,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
51,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
51,Paris Montparnasse,"Articles d'enfants, de puériculture"
51,Paris Montparnasse,Articles médicaux
51,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
51,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
51,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
51,Paris Montparnasse,Optique
51,Paris Montparnasse,"Bijoux, montres"
51,Paris Montparnasse,"Bijoux, montres"
51,Paris Montparnasse,"Bijoux, montres"
51,Paris Montparnasse,"Vêtements, chaussures"
51,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,Pièces d'identités et papiers personnels
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Clés, porte-clés, badge magnétique"
51,Paris Montparnasse,"Articles de sport, loisirs, camping"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,Optique
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Livres, articles de papéterie"
50,Paris Montparnasse,"Vêtements, chaussures"
50,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
50,Paris Montparnasse,"Clés, porte-clés, badge magnétique"
50,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
50,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
50,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
50,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
50,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
50,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
50,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
50,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
