,fields.date,objet_jour
493,2020-05-08,0
494,2020-05-09,0
495,2020-05-10,2
496,2020-05-11,12
497,2020-05-12,12
498,2020-05-13,7
499,2020-05-14,5
500,2020-05-15,16
501,2020-05-16,18
502,2020-05-17,18
503,2020-05-18,9
504,2020-05-19,14
505,2020-05-20,46
506,2020-05-21,23
507,2020-05-22,21
508,2020-05-23,2
509,2020-05-24,6
510,2020-05-25,24
511,2020-05-26,15
512,2020-05-27,51
513,2020-05-28,45
514,2020-05-29,32
515,2020-05-30,17
516,2020-05-31,22
517,2020-06-01,3
518,2020-06-02,51
519,2020-06-03,22
520,2020-06-04,26
521,2020-06-05,38
522,2020-06-06,11
523,2020-06-07,18
524,2020-06-08,37
525,2020-06-09,27
526,2020-06-10,26
527,2020-06-11,35
528,2020-06-12,40
529,2020-06-13,15
530,2020-06-14,12
531,2020-06-15,48
532,2020-06-16,23
533,2020-06-17,32
534,2020-06-18,63
535,2020-06-19,44
536,2020-06-20,21
537,2020-06-21,14
538,2020-06-22,78
539,2020-06-23,46
540,2020-06-24,30
541,2020-06-25,43
542,2020-06-26,52
543,2020-06-27,12
544,2020-06-28,9
545,2020-06-29,82
546,2020-06-30,45
547,2020-07-01,33
548,2020-07-02,32
549,2020-07-03,27
550,2020-07-04,38
551,2020-07-05,30
552,2020-07-06,63
553,2020-07-07,47
554,2020-07-08,55
555,2020-07-09,41
556,2020-07-10,49
557,2020-07-11,57
558,2020-07-12,9
559,2020-07-13,92
560,2020-07-14,25
561,2020-07-15,48
562,2020-07-16,86
563,2020-07-17,49
564,2020-07-18,55
565,2020-07-19,26
566,2020-07-20,68
567,2020-07-21,67
568,2020-07-22,30
569,2020-07-23,45
570,2020-07-24,32
571,2020-07-25,53
572,2020-07-26,5
573,2020-07-27,91
574,2020-07-28,70
575,2020-07-29,44
576,2020-07-30,69
577,2020-07-31,34
578,2020-08-01,37
579,2020-08-02,21
580,2020-08-03,68
581,2020-08-04,59
582,2020-08-05,40
583,2020-08-06,50
584,2020-08-07,32
585,2020-08-08,36
586,2020-08-09,6
587,2020-08-10,49
588,2020-08-11,48
589,2020-08-12,40
590,2020-08-13,55
591,2020-08-14,47
592,2020-08-15,18
593,2020-08-16,39
594,2020-08-17,66
595,2020-08-18,57
596,2020-08-19,35
597,2020-08-20,62
598,2020-08-21,63
599,2020-08-22,35
600,2020-08-23,40
601,2020-08-24,70
602,2020-08-25,66
603,2020-08-26,53
604,2020-08-27,51
605,2020-08-28,43
606,2020-08-29,38
607,2020-08-30,42
608,2020-08-31,69
609,2020-09-01,38
610,2020-09-02,75
611,2020-09-03,45
612,2020-09-04,43
613,2020-09-05,27
614,2020-09-06,15
615,2020-09-07,63
616,2020-09-08,67
617,2020-09-09,43
618,2020-09-10,51
619,2020-09-11,39
620,2020-09-12,29
621,2020-09-13,19
622,2020-09-14,69
623,2020-09-15,55
624,2020-09-16,71
625,2020-09-17,50
626,2020-09-18,35
627,2020-09-19,41
628,2020-09-20,14
629,2020-09-21,58
630,2020-09-22,69
631,2020-09-23,56
632,2020-09-24,43
633,2020-09-25,30
634,2020-09-26,56
635,2020-09-27,23
636,2020-09-28,56
637,2020-09-29,59
638,2020-09-30,30
639,2020-10-01,48
640,2020-10-02,57
641,2020-10-03,13
642,2020-10-04,39
643,2020-10-05,54
644,2020-10-06,61
645,2020-10-07,19
646,2020-10-08,41
647,2020-10-09,51
648,2020-10-10,17
649,2020-10-11,14
650,2020-10-12,56
651,2020-10-13,49
652,2020-10-14,63
653,2020-10-15,67
654,2020-10-16,58
655,2020-10-17,37
656,2020-10-18,15
657,2020-10-19,69
658,2020-10-20,85
659,2020-10-21,51
660,2020-10-22,54
661,2020-10-23,57
662,2020-10-24,45
663,2020-10-25,17
664,2020-10-26,55
665,2020-10-27,72
666,2020-10-28,64
667,2020-10-29,60
668,2020-10-30,30
669,2020-10-31,40
670,2020-11-01,12
671,2020-11-02,63
672,2020-11-03,31
673,2020-11-04,33
674,2020-11-05,31
675,2020-11-06,23
676,2020-11-07,12
677,2020-11-08,11
678,2020-11-09,14
679,2020-11-10,18
680,2020-11-11,3
681,2020-11-12,22
682,2020-11-13,10
683,2020-11-14,14
684,2020-11-15,7
685,2020-11-16,25
686,2020-11-17,16
687,2020-11-18,14
688,2020-11-19,38
689,2020-11-20,26
690,2020-11-21,4
691,2020-11-22,4
692,2020-11-23,20
693,2020-11-24,33
694,2020-11-25,14
695,2020-11-26,40
696,2020-11-27,14
697,2020-11-28,14
698,2020-11-29,5
699,2020-11-30,30
700,2020-12-01,21
701,2020-12-02,22
702,2020-12-03,23
703,2020-12-04,35
704,2020-12-05,21
705,2020-12-06,1
706,2020-12-07,25
707,2020-12-08,28
708,2020-12-09,41
709,2020-12-10,35
710,2020-12-11,35
711,2020-12-12,17
712,2020-12-13,11
713,2020-12-14,22
714,2020-12-15,54
715,2020-12-16,58
716,2020-12-17,59
717,2020-12-18,40
718,2020-12-19,29
719,2020-12-20,14
720,2020-12-21,67
721,2020-12-22,35
722,2020-12-23,53
723,2020-12-24,42
724,2020-12-25,10
725,2020-12-26,26
726,2020-12-27,6
727,2020-12-28,50
728,2020-12-29,62
729,2020-12-30,36
730,2020-12-31,47
731,2021-01-01,2
732,2021-01-02,34
733,2021-01-03,10
734,2021-01-04,49
735,2021-01-05,70
736,2021-01-06,14
737,2021-01-07,35
738,2021-01-08,37
739,2021-01-09,25
740,2021-01-10,17
741,2021-01-11,36
742,2021-01-12,42
743,2021-01-13,51
744,2021-01-14,34
745,2021-01-15,45
746,2021-01-16,13
747,2021-01-17,10
748,2021-01-18,39
749,2021-01-19,55
750,2021-01-20,35
751,2021-01-21,34
752,2021-01-22,37
753,2021-01-23,23
754,2021-01-24,24
755,2021-01-25,33
756,2021-01-26,46
757,2021-01-27,48
758,2021-01-28,72
759,2021-01-29,35
760,2021-01-30,27
761,2021-01-31,19
762,2021-02-01,54
763,2021-02-02,34
764,2021-02-03,42
765,2021-02-04,32
766,2021-02-05,37
767,2021-02-06,23
768,2021-02-07,17
769,2021-02-08,41
770,2021-02-09,44
771,2021-02-10,21
772,2021-02-11,55
773,2021-02-12,30
774,2021-02-13,21
775,2021-02-14,12
776,2021-02-15,35
777,2021-02-16,40
778,2021-02-17,50
779,2021-02-18,39
780,2021-02-19,27
781,2021-02-20,22
782,2021-02-21,31
783,2021-02-22,51
784,2021-02-23,55
785,2021-02-24,84
786,2021-02-25,56
787,2021-02-26,57
788,2021-02-27,38
789,2021-02-28,11
790,2021-03-01,52
791,2021-03-02,41
792,2021-03-03,36
793,2021-03-04,40
794,2021-03-05,66
795,2021-03-06,37
796,2021-03-07,25
797,2021-03-08,58
798,2021-03-09,62
799,2021-03-10,49
800,2021-03-11,53
801,2021-03-12,29
802,2021-03-13,28
803,2021-03-14,12
804,2021-03-15,48
805,2021-03-16,34
806,2021-03-17,48
807,2021-03-18,59
808,2021-03-19,54
809,2021-03-20,27
810,2021-03-21,6
811,2021-03-22,37
812,2021-03-23,55
813,2021-03-24,45
814,2021-03-25,28
815,2021-03-26,29
816,2021-03-27,12
817,2021-03-28,9
818,2021-03-29,27
819,2021-03-30,56
820,2021-03-31,24
821,2021-04-01,68
822,2021-04-02,42
823,2021-04-03,24
824,2021-04-04,8
825,2021-04-05,29
826,2021-04-06,83
827,2021-04-07,52
828,2021-04-08,29
829,2021-04-09,24
830,2021-04-10,18
831,2021-04-11,7
832,2021-04-12,28
833,2021-04-13,26
834,2021-04-14,33
835,2021-04-15,26
836,2021-04-16,19
837,2021-04-17,16
838,2021-04-18,21
839,2021-04-19,37
840,2021-04-20,35
841,2021-04-21,21
842,2021-04-22,35
843,2021-04-23,47
844,2021-04-24,20
845,2021-04-25,18
846,2021-04-26,40
847,2021-04-27,25
848,2021-04-28,21
849,2021-04-29,39
850,2021-04-30,25
851,2021-05-01,16
852,2021-05-02,4
853,2021-05-03,49
854,2021-05-04,46
855,2021-05-05,48
856,2021-05-06,44
857,2021-05-07,65
858,2021-05-08,14
859,2021-05-09,11
860,2021-05-10,45
861,2021-05-11,56
862,2021-05-12,58
863,2021-05-13,20
864,2021-05-14,37
865,2021-05-15,25
866,2021-05-16,18
867,2021-05-17,67
868,2021-05-18,51
869,2021-05-19,44
870,2021-05-20,64
871,2021-05-21,50
872,2021-05-22,28
873,2021-05-23,20
874,2021-05-24,25
875,2021-05-25,75
876,2021-05-26,51
877,2021-05-27,44
878,2021-05-28,39
879,2021-05-29,26
880,2021-05-30,34
881,2021-05-31,69
882,2021-06-01,41
883,2021-06-02,38
884,2021-06-03,52
885,2021-06-04,74
886,2021-06-05,30
887,2021-06-06,25
888,2021-06-07,41
889,2021-06-08,54
890,2021-06-09,54
891,2021-06-10,73
892,2021-06-11,46
893,2021-06-12,34
894,2021-06-13,20
895,2021-06-14,43
896,2021-06-15,90
897,2021-06-16,42
898,2021-06-17,63
899,2021-06-18,62
900,2021-06-19,40
901,2021-06-20,23
902,2021-06-21,61
903,2021-06-22,50
904,2021-06-23,84
905,2021-06-24,59
906,2021-06-25,35
907,2021-06-26,36
908,2021-06-27,45
909,2021-06-28,66
910,2021-06-29,47
911,2021-06-30,61
912,2021-07-01,70
913,2021-07-02,65
914,2021-07-03,32
915,2021-07-04,25
916,2021-07-05,57
917,2021-07-06,84
918,2021-07-07,47
919,2021-07-08,77
920,2021-07-09,98
921,2021-07-10,39
922,2021-07-11,20
923,2021-07-12,92
924,2021-07-13,58
925,2021-07-14,19
926,2021-07-15,68
927,2021-07-16,59
928,2021-07-17,56
929,2021-07-18,24
930,2021-07-19,64
931,2021-07-20,113
932,2021-07-21,59
933,2021-07-22,55
934,2021-07-23,57
935,2021-07-24,54
936,2021-07-25,14
937,2021-07-26,65
938,2021-07-27,90
939,2021-07-28,67
940,2021-07-29,51
941,2021-07-30,62
942,2021-07-31,66
943,2021-08-01,15
944,2021-08-02,85
945,2021-08-03,63
946,2021-08-04,79
947,2021-08-05,78
948,2021-08-06,39
949,2021-08-07,45
950,2021-08-08,15
951,2021-08-09,108
952,2021-08-10,62
953,2021-08-11,78
954,2021-08-12,76
955,2021-08-13,45
956,2021-08-14,57
957,2021-08-15,21
